Site Name,SiteID
IND-HYD-UPPAL,dea426af-2bc8-4e53-9a70-7e4b1a7fa4b8
IND-GGN-BSP,6d09a8ba-affc-4753-b4a8-8df854eb1b3d
IND-JPR-JLN,ad4aeda9-e622-488f-9559-95deb4c1f583
IND-BLR-SURYA PARK,26260ca6-2cdf-4510-bdf8-00d1f28e29bd
IND-NOIDA-ASSOTECH,9df2498e-d3ee-440c-ac02-527217e96744
EUR-GER-MUN,75605b1f-8881-4776-be36-f7258b10edf1
CHN-FOSHAN,017aa30a-80be-4feb-bfb1-f309ac9a2361
USA-WBE-335 NEWCOMMERCE,5dbc9d60-a529-4511-aa66-71b7b120a61f
IND-BLR-PST,d7f8594c-8bd2-4b29-96a1-ec6323319021
IND-GGN-PHASE V,7ddd12b8-7ecf-451f-9f52-88b3b7ae30c3
EUR-BLG-SOF,07d1e9b3-2268-4042-8a35-0daa351fedbf
IND-TGA-WRL,cc5c2d4b-3aa0-4759-991a-b75099af51bb
IND-PUN-KHARADI,662dcf4d-42f4-4555-80bb-ea0d8f6d35f7
IND-GGN-PLOT22,32d23d4d-2c77-47a8-8155-2d3e3a27de22
MEX-GDL-JALISCO,c5992889-9c7b-4653-b0f4-04c4a693f1aa
STP-Single SSID-G-NET,00ddc652-5e44-424a-84b3-d8926af14a35
IND-CHE-PORUR,c044acf7-5359-47e4-981d-34828d0b5082
IND-MUM-PENINSULA PARK,fb861070-786a-40cc-9fe4-e685f9ae59cb
IND-HYD-DSL,4a403100-96be-4ca9-89dd-389d3302715a
IND-LKO-EXP,5340152b-cea5-430d-9ee8-e72d8b137391
LTM-BRZ-UBERLANDIA,2c5a82ab-73eb-4176-8f51-fdfa8ce2a3b1
IND-MUM-PHARMALINK,6e268dc2-770f-47c4-ae2a-4eb6d233b0fc
IND-TND-MADURAI,0b4de28f-320e-49dc-b106-98a29f2f60bf
IND-PUN-NIYATI,d2844870-0d1e-4235-b206-8d49acf937ae
IND-NOI-SEZ,cdca21f9-090b-4a54-8259-ef713c9aad5c
PHP-ALB-IHUB,a3a8745c-e101-40a6-8745-a305338a8790
IND-BLE-ENQUERO,f1c26d9a-ee37-406d-8d5e-6dbad36a1104
IND-ND4-CMIT,1a39e07d-dd52-4bc8-889b-c70471dab529
PHP-BAT-BALANGA,a631d811-8b9b-48ef-823b-b5594e4af356
LTM-CRA-ULTRAPARK,e89ee520-b06d-4168-88f6-261e38a6440a
IND-HYD-ENQUERO,f88aa490-23d2-4a3b-813d-6d7b04a9789f
IND-PUN-NIYATI-CDK,5e6dc633-2b45-48dc-aa27-c71e5e14c3e9
PHP-QZN-ETON,e1fd5644-b0e2-4caa-a464-949910b42917
IND-JPR-STP,54c094e8-2eb4-49e6-8d75-989eba69dc9a
IND-HYD-HAFEEZPET,2f43c0bb-7ae0-4f36-ae6c-e6a70a1e9c38
IND-BLR-PTP-HKN,189724c3-df36-43e0-a053-0b2bcf61d29b
IND-BLR-PTP,c93c7a0a-767d-46a2-aeed-915469083583
IND-NOIDA-STELLAR,3e68a827-24c8-4433-b871-1284a00a7c56
IND-HYD-HAFEEZPET-CDK,52cf7ab2-f3b4-44de-8d67-f127cd643ec0
SAF-EGYPT-CAIRO,5ad1eac8-3a80-412c-ae83-fe08e1b7f556
PHP-ALB-PLAZA,ff80b934-5928-4e69-9dd7-bb1552558707
IND-KOL-CAM,56a26395-f385-443c-95d3-f2028d1c0898
IND-JOD-BULLS,dec06813-40e2-46c0-b00d-54cb9f37d6d1
PHP-ALB-VECTOR,241ab789-e2ba-474c-8e70-26f3c9b244f8
PHP-ALB-5132,3645544c-52c9-4c87-b160-805599013ab8
CHN-DALIAN,daa5f878-48fd-4eff-abed-f7ce41aeecb4
MEX-Monterrey,eb483604-f8e3-4288-85cc-d576a1337887
AUS-SYD-NSW,f72223ce-3a08-4513-9510-27cbc2db5a2f
SAF-JHB-CCB,938b5936-32e2-49e0-a61a-773bc7b2c298
